"pet_id","date","activity_type","duration_minutes"
9930,2023-08-01,"Resting","-"
3040,2023-07-24,"Resting","4"
2381,2023-01-11,"Walking","24"
3936,2022-09-15,"Walking","73"
8989,2023-02-06,"Playing","77"
627,2023-02-15,"Resting","45"
3132,2022-10-02,"Resting","35"
9988,2023-11-16,"Resting","72"
3735,2022-08-11,"Rest","87"
3035,2023-09-06,"Playing","69"
4339,2022-10-24,"Walk","-"
3686,2023-06-11,"Resting","52"
9230,2023-07-12,"Walking","-"
3223,2023-01-30,"Walking","56"
3612,2023-09-01,"Walk","16"
7393,2023-03-27,"Playing","82"
1001,2023-01-08,"Walking","53"
7267,2022-05-23,"Resting","71"
6725,2022-09-28,"Playing","-"
3225,2022-04-12,"Playing","9"
4238,2023-10-19,"Resting","13"
1956,2023-11-01,"Playing","74"
2058,2022-10-31,"Resting","-"
6332,2023-12-19,"Resting","-"
9689,2023-02-16,"Playing","-"
9419,2022-10-14,"Walking","46"
2178,2023-05-23,"Playing","40"
3001,2023-06-27,"Playing","71"
9689,2022-09-04,"Walk","85"
9769,2023-06-25,"Playing","85"
5468,2023-11-23,"Walking","69"
2549,2022-04-08,"Playing","9"
7956,2023-06-26,"Walking","27"
5747,2023-12-27,"Resting","9"
1382,2023-10-26,"Resting","23"
2869,2023-01-08,"Playing","89"
5975,2022-08-12,"Resting","77"
8805,2023-04-09,"Walking","87"
8244,2023-09-23,"Resting","20"
8007,2022-04-19,"Playing","49"
6103,2022-09-05,"Resting","29"
2882,2023-12-17,"Playing","75"
1297,2023-02-11,"Play","51"
850,2023-12-05,"Resting","29"
1640,2022-09-01,"Resting","-"
5071,2023-08-09,"Walking","40"
4583,2022-06-30,"Playing","3"
5062,2022-09-25,"Resting","36"
9305,2022-08-17,"Resting","32"
1585,2022-10-12,"Resting","9"
8285,2022-08-01,"Walking","32"
8989,2023-07-01,"Resting","52"
7818,2023-12-15,"Walking","66"
427,2022-12-31,"Playing","5"
9223,2023-05-20,"Playing","16"
1925,2023-05-24,"Walking","37"
7030,2022-10-28,"Playing","49"
9367,2023-10-22,"Resting","40"
3088,2022-06-23,"Walking","8"
2342,2023-01-25,"Resting","33"
9539,2023-08-19,"Resting","52"
4150,2023-05-18,"Resting","85"
4001,2023-04-12,"Resting","32"
1906,2022-06-27,"Walking","-"
585,2023-10-29,"Walking","4"
8226,2023-09-14,"Resting","-"
579,2022-11-05,"Playing","33"
7022,2023-11-08,"Playing","14"
3846,2023-12-01,"Resting","19"
850,2023-07-26,"Resting","42"
5984,2022-05-17,"Playing","66"
7716,2023-10-17,"Playing","90"
4480,2023-03-13,"Playing","1"
3821,2023-05-14,"Resting","73"
6939,2023-04-04,"Resting","62"
6609,2022-12-20,"Play","28"
5334,2022-07-11,"Walking","-"
9407,2023-02-11,"Resting","68"
1173,2023-06-28,"Playing","72"
3936,2023-12-22,"Resting","-"
8631,2023-11-11,"Walking","-"
4937,2023-10-20,"Playing","40"
3001,2023-12-26,"Walk","79"
2528,2022-09-24,"Walking","13"
7642,2023-05-10,"Playing","81"
579,2023-12-26,"Playing","-"
8840,2023-01-11,"Walking","56"
5919,2022-12-20,"Resting","21"
9466,2022-05-09,"Playing","17"
7117,2023-11-18,"Play","83"
306,2022-12-03,"Playing","57"
8840,2022-10-24,"Playing","39"
309,2022-08-06,"Resting","37"
3530,2023-08-27,"Playing","49"
7296,2023-08-13,"Playing","88"
9357,2022-04-27,"Walking","54"
4307,2023-05-26,"Walking","73"
8149,2022-12-01,"Playing","42"
83,2022-11-05,"Resting","32"
7818,2022-05-30,"Resting","49"
3988,2023-12-29,"Play","33"
1001,2022-08-01,"Playing","34"
5691,2023-02-24,"Walking","32"
1261,2022-08-29,"Walking","21"
5622,2023-10-30,"Rest","48"
3467,2023-10-17,"Playing","74"
9357,2022-11-21,"Resting","11"
1115,2022-04-27,"Resting","20"
2429,2022-05-02,"Playing","-"
782,2022-08-13,"Walking","50"
2893,2023-10-15,"Playing","30"
3530,2022-04-18,"Walking","5"
6194,2022-10-18,"Walking","65"
3946,2023-09-02,"Walking","10"
694,2022-07-21,"Walking","11"
8804,2023-01-15,"Resting","88"
8710,2022-07-13,"Walking","7"
5421,2022-09-19,"Playing","-"
4643,2023-07-12,"Walking","54"
8070,2022-10-02,"Rest","61"
4278,2022-12-24,"Playing","57"
5610,2022-09-04,"Rest","-"
9721,2022-05-11,"Resting","55"
7172,2023-06-14,"Playing","12"
7190,2022-09-04,"Walk","65"
8804,2023-05-31,"Playing","-"
1115,2022-10-28,"Playing","-"
5940,2022-07-29,"Resting","-"
2060,2022-09-13,"Resting","69"
782,2022-09-14,"Playing","87"
7022,2023-09-03,"Playing","23"
7706,2022-11-05,"Walking","-"
1888,2023-06-01,"Resting","90"
2733,2022-05-20,"Walking","70"
4339,2022-05-22,"Walking","87"
1345,2022-11-13,"Resting","6"
9578,2023-07-31,"Playing","79"
1772,2022-09-04,"Playing","61"
5823,2023-04-15,"Resting","1"
9356,2022-05-17,"Playing","12"
4937,2022-08-24,"Walking","51"
601,2023-12-28,"Play","76"
6409,2023-04-17,"Walking","40"
7716,2023-12-26,"Playing","-"
7010,2023-09-26,"Walking","-"
8007,2023-02-08,"Resting","89"
2448,2023-12-24,"Walking","72"
6102,2023-03-16,"Walking","-"
3340,2022-09-02,"Resting","59"
2733,2023-07-29,"Playing","47"
7706,2022-11-01,"Resting","60"
4726,2022-09-22,"Walk","34"
2060,2022-12-06,"Walking","61"
3224,2022-10-23,"Playing","-"
2299,2023-06-20,"Resting","13"
5890,2022-09-28,"Resting","73"
5406,2022-08-07,"Resting","10"
4480,2023-02-10,"Resting","79"
7010,2023-06-12,"Playing","9"
6806,2022-09-06,"Walking","68"
2262,2022-05-13,"Resting","-"
2590,2023-12-11,"Play","-"
5643,2023-05-31,"Walking","76"
6683,2022-10-18,"Resting","22"
9271,2023-11-01,"Resting","58"
1057,2022-09-14,"Walking","33"
7972,2022-05-24,"Walking","12"
9163,2022-08-19,"Walking","77"
6917,2022-06-13,"Playing","57"
9419,2022-10-11,"Playing","13"
6740,2023-03-25,"Playing","63"
2747,2022-10-30,"Walking","5"
5958,2022-12-21,"Walking","-"
9874,2023-04-22,"Resting","2"
5243,2023-08-16,"Playing","18"
4278,2023-11-16,"Playing","-"
9218,2022-07-11,"Rest","73"
1678,2023-05-15,"Resting","84"
3988,2022-06-17,"Walking","-"
2547,2023-10-22,"Playing","73"
7956,2022-07-11,"Resting","-"
1963,2022-09-02,"Resting","-"
6556,2023-08-15,"Walking","-"
5987,2022-08-20,"Walking","25"
1239,2023-11-14,"Walking","64"
1678,2023-07-02,"Walking","24"
6897,2022-06-03,"Walking","71"
5925,2023-10-21,"Resting","34"
6934,2023-12-23,"Resting","5"
9322,2023-02-15,"Playing","64"
473,2023-03-21,"Walking","35"
9445,2023-08-16,"Playing","79"
7936,2023-01-02,"Play","57"
5334,2022-09-13,"Playing","37"
3466,2022-12-25,"Resting","51"
1169,2023-01-30,"Walking","22"
6518,2023-01-25,"Resting","85"
6102,2023-09-16,"Playing","14"
5457,2023-05-12,"Playing","10"
1417,2022-10-23,"Walking","33"
6617,2023-08-29,"Walking","8"
8007,2022-09-02,"Resting","60"
542,2022-11-07,"Playing","2"
9525,2022-08-23,"Walking","46"
3735,2023-11-28,"Walking","-"
8418,2022-12-30,"Walking","-"
1207,2023-07-04,"Playing","39"
4777,2022-07-06,"Resting","40"
5194,2022-09-17,"Walking","25"
309,2022-11-11,"Resting","73"
1343,2022-08-27,"Resting","31"
2840,2023-04-15,"Playing","8"
1345,2022-05-12,"Walking","8"
4777,2023-07-22,"Walking","-"
2094,2022-06-01,"Resting","36"
8412,2023-03-14,"Resting","84"
6172,2023-04-04,"Playing","71"
4045,2023-11-18,"Walking","75"
4339,2023-05-13,"Playing","2"
1309,2023-10-31,"Walking","51"
6851,2022-07-13,"Resting","78"
5578,2023-11-23,"Walking","4"
5863,2023-03-13,"Walking","-"
8177,2022-04-02,"Walking","51"
5789,2023-06-17,"Playing","29"
83,2023-10-18,"Playing","10"
4584,2022-04-17,"Playing","-"
9988,2022-11-07,"Playing","73"
2287,2022-09-07,"Walking","88"
8903,2022-08-13,"Resting","41"
6480,2022-12-28,"Walking","28"
2415,2022-10-28,"Playing","68"
5699,2022-07-20,"Resting","-"
7515,2022-08-14,"Resting","-"
