"pet_id","visit_date","issue","resolution"
9692,2022-10-09,"Dental Cleaning","Cleaning done, no dental issues"
9186,2022-05-15,"Ear Infection","Medication and follow-up in 2 weeks for infection"
2709,2023-12-24,"Annual Checkup","All clear, healthy diet recommended"
2513,2023-03-18,"Annual Checkup","Vaccination completed, next due in 1 year"
2016,2023-10-03,"Dental Cleaning","Cleaning done, no dental issues"
8237,2022-11-07,"Annual Checkup","All clear, healthy diet recommended"
8510,2023-04-12,"Dental Cleaning","Cleaning done, no dental issues"
8572,2023-07-23,"Annual Checkup","All clear, healthy diet recommended"
4761,2023-12-03,"Annual Checkup","Diet adjustment recommended for weight management"
1001,2023-09-21,"Annual Checkup","All clear, healthy diet recommended"
9900,2023-02-02,"Injury","Minor surgery performed, recovery monitored"
7818,2023-05-18,"Annual Checkup","Diet adjustment recommended for weight management"
1949,2023-01-04,"Annual Checkup","Vaccination completed, next due in 1 year"
6480,2023-09-26,"Ear Infection","Medication and follow-up in 2 weeks for infection"
4346,2023-03-25,"Annual Checkup","All clear, healthy diet recommended"
4734,2023-01-03,"Annual Checkup","Diet adjustment recommended for weight management"
694,2022-07-30,"Injury","Sprain identified, rest and limited movement advised"
4734,2023-11-03,"Dental Cleaning","Cleaning done, no dental issues"
3723,2022-08-02,"Injury","Minor surgery performed, recovery monitored"
8631,2022-12-24,"Injury","Sprain identified, rest and limited movement advised"
5334,2023-02-25,"Annual Checkup","Vaccination completed, next due in 1 year"
2429,2022-11-09,"Dental Cleaning","Cleaning done, no dental issues"
2709,2023-11-28,"Dental Cleaning","Cleaning done, no dental issues"
2415,2022-08-03,"Annual Checkup","All clear, healthy diet recommended"
4777,2023-01-16,"Annual Checkup","Diet adjustment recommended for weight management"
8804,2022-04-12,"Injury","Sprain identified, rest and limited movement advised"
1366,2023-10-08,"Injury","Minor surgery performed, recovery monitored"
5008,2022-06-07,"Annual Checkup","All clear, healthy diet recommended"
4947,2023-04-03,"Annual Checkup","Vaccination completed, next due in 1 year"
637,2023-02-15,"Injury","Minor surgery performed, recovery monitored"
6087,2023-08-06,"Annual Checkup","Vaccination completed, next due in 1 year"
8746,2023-01-26,"Annual Checkup","All clear, healthy diet recommended"
7833,2023-11-22,"Annual Checkup","Diet adjustment recommended for weight management"
8993,2023-06-03,"Annual Checkup","Vaccination completed, next due in 1 year"
5958,2022-12-31,"Annual Checkup","Diet adjustment recommended for weight management"
1343,2023-12-29,"Dental Cleaning","Cleaning done, no dental issues"
8705,2023-06-15,"Annual Checkup","Vaccination completed, next due in 1 year"
3885,2023-09-05,"Dental Cleaning","Cleaning done, no dental issues"
8353,2023-08-18,"Annual Checkup","All clear, healthy diet recommended"
8805,2023-09-07,"Injury","Sprain identified, rest and limited movement advised"
6480,2023-07-05,"Injury","Sprain identified, rest and limited movement advised"
4947,2023-05-14,"Annual Checkup","Diet adjustment recommended for weight management"
5421,2023-09-15,"Ear Infection","Medication and follow-up in 2 weeks for infection"
3767,2022-05-08,"Dental Cleaning","Cleaning done, no dental issues"
9379,2022-07-01,"Dental Cleaning","Cleaning done, no dental issues"
6602,2023-09-18,"Annual Checkup","Vaccination completed, next due in 1 year"
1382,2023-03-26,"Injury","Minor surgery performed, recovery monitored"
3057,2023-03-25,"Annual Checkup","Diet adjustment recommended for weight management"
217,2023-06-12,"Annual Checkup","All clear, healthy diet recommended"
6963,2023-11-14,"Ear Infection","Medication and follow-up in 2 weeks for infection"
6454,2022-07-18,"Annual Checkup","All clear, healthy diet recommended"
3224,2023-09-14,"Ear Infection","Medication and follow-up in 2 weeks for infection"
8903,2022-08-01,"Dental Cleaning","Cleaning done, no dental issues"
