"owner_id","pet_id","owner_age_group","pet_type"
7016,9930,"18-25","Dog"
5637,3040,"18-25","Rabbit"
5366,2381,"18-25","Rabbit"
7063,3936,"26-35","Hamster"
3803,8989,"36-45","Dog"
5611,627,"46-55","Fish"
3504,3132,"66+","Rabbit"
5933,9988,"56-65","Rabbit"
4333,3735,"26-35","Cat"
5820,3035,"66+","Fish"
130,4339,"18-25","Rabbit"
2979,3686,"26-35","Rabbit"
9136,9230,"46-55","Rabbit"
7880,3223,"26-35","Cat"
787,3612,"36-45","Fish"
7018,7393,"18-25","Dog"
4166,1001,"46-55","Dog"
9890,7267,"56-65","Hamster"
5568,6725,"56-65","Dog"
936,3225,"26-35","Hamster"
7739,4238,"56-65","Cat"
2818,1956,"56-65","Rabbit"
4954,2058,"36-45","Fish"
2456,6332,"26-35","Rabbit"
7147,9689,"46-55","Rabbit"
4101,9419,"36-45","Hamster"
9442,2178,"36-45","Dog"
9951,3001,"26-35","Cat"
659,9769,"46-55","Hamster"
4302,5468,"46-55","Fish"
8612,2549,"36-45","Dog"
725,7956,"66+","Hamster"
8562,5747,"36-45","Dog"
7965,1382,"36-45","Dog"
4983,2869,"36-45","Cat"
5818,5975,"18-25","Cat"
4944,8805,"46-55","Hamster"
5743,8244,"66+","Fish"
6652,8007,"18-25","Rabbit"
3723,6103,"66+","Rabbit"
6343,2882,"56-65","Dog"
576,1297,"26-35","Fish"
3475,850,"26-35","Hamster"
7642,1640,"36-45","Hamster"
1992,5071,"18-25","Fish"
7768,4583,"26-35","Rabbit"
3258,5062,"36-45","Cat"
4495,9305,"18-25","Dog"
4135,1585,"18-25","Fish"
4725,8285,"18-25","Dog"
7979,7818,"46-55","Hamster"
6043,427,"66+","Rabbit"
8116,9223,"56-65","Cat"
2797,1925,"46-55","Dog"
5761,7030,"26-35","Rabbit"
4990,9367,"56-65","Hamster"
1339,3088,"18-25","Hamster"
4929,2342,"66+","Hamster"
1495,9539,"56-65","Dog"
7003,4150,"36-45","Fish"
9753,4001,"46-55","Hamster"
4680,1906,"18-25","Rabbit"
9685,585,"26-35","Dog"
2391,8226,"56-65","Rabbit"
7956,579,"56-65","Dog"
7165,7022,"56-65","Dog"
8609,3846,"56-65","Fish"
2527,5984,"18-25","Fish"
342,7716,"66+","Cat"
9044,4480,"46-55","Hamster"
9842,3821,"26-35","Hamster"
3445,6939,"46-55","Rabbit"
